total_ambients,school,parceria,ambient
1,JOAO DIAS,ASS BENEFICENTE PARA HUMANIZACAO SOCIAL,BERCARIO
1,JOAO FERNANDES VII,INSTITUTO AMA SAO PAULO - AMASP,BRINQUEDOTECA
1,JOAO FERNANDES X,ASSOCIACAO SANTA BARBARA - CAMINHO DA PAZ,SALA DE ED. INFANTIL PROPRIA 
1,JOAO PE DE FEIJAO,ASSOCIAÇÃO CIVICA FEMININA,BERCARIO
1,JOAO XXIII,ASS GRUPO MISSAO DIVINA,LABORATORIO DE INFORMATICA    
1,JOAO XXIII,ASS GRUPO MISSAO DIVINA,QUADRA COBERTA                
1,JOAO XXIII,ASS GRUPO MISSAO DIVINA,SALA DE LEITURA               
1,JOAO XXIII,ASS GRUPO MISSAO DIVINA,SALA RECUPERACAO/APOIO PEDAG. 
1,JOAO XXIII,ASS GRUPO MISSAO DIVINA,SALA RECURSOS MULTIFUNCIONAIS
1,JOSE BONIFACIO,CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL,LABORATORIO DE INFORMATICA    
1,JOSE BONIFACIO,CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL,SALA DE LEITURA               
1,JOSE VIEIRA DE SANTANA,ASS BENEFICENTE PARA HUMANIZACAO SOCIAL,SALA DE ED. INFANTIL PROPRIA 
1,JUAN DIEGO,ASSOCIAÇÃO UNIAO E PROGRESSO DO PARQUE ARARIBA E ADJACENCIAS,BERCARIO
1,JUJUBINHA,ASS EVANGELICA MONTE CARMELO,SALA DE ED. INFANTIL PROPRIA 
1,JULIA E JR,ASSOCIAÇÃO MENINO DEUS,BERCARIO
1,JULIO CESAR,MOVIMENTO DE DEFESA DO FAVELADO REGIAO EPISCOPAL BELEM,SALA DE ED. INFANTIL PROPRIA 
1,JULIO FRANCISCO DE SOUZA II,ASSOCIAÇÃO COMUNITÁRIA FAZENDA DO CARMO,SALA DE ED. INFANTIL PROPRIA 
1,KADOSH,CENTRO DE AMPARO E REABILITACAO CANAA,SALA DE ED. INFANTIL PROPRIA 
1,KALIXTO MENDES II,ASSOCIAÇÃO DE MÃES NOSSA SENHORA DE APARECIDA DO KEMEL - I,BERCARIO
1,KAUE MARQUES,ASSOCIAÇÃO EDUCACIONAL KAUE MARQUES,BERCARIO
1,LADY DAY,ASS BENEF .COMUNITARIA E CULT. NUCLEO DE ATENDIMENTO SOCIAL,SALA DE ED. INFANTIL PROPRIA 
1,LAJEADO,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,PATIO COBERTO                 
1,LAJEADO,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,PATIO DESCOBERTO              
1,LAJEADO,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,PISCINA                       
1,LAJEADO,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,QUADRA COBERTA                
1,LAJEADO,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,QUADRA DESCOBERTA             
1,LAR DE AMOR MEIMEI,ASSOCIACAO MAREZINHA - BMT,SALA DE ED. INFANTIL PROPRIA 
1,LEAO DA TRIBO DE JUDA,ASS BENEFICENTE COMUNITARIA EM ITAQUERA E ADJACENCIAS,SALA DE AULA PROPRIA         
1,LELIA GONZALEZ,ASSOCIAÇÃO BENEFICENTE COMUNITARIA THEREZINHA DE JESUS,AUDITORIO                     
1,LELIA GONZALEZ,ASSOCIAÇÃO BENEFICENTE COMUNITARIA THEREZINHA DE JESUS,SALA RECURSOS MULTIFUNCIONAIS
1,LILIANE SANTANA,ASS BENEFICENTE DE APOIO A COMUNIDADE CARENTE UNIDA,SALA DE ED. INFANTIL PROPRIA 
1,LIMA BARRETO,INSTITUTO DE ACAO SOCIAL AMIGOS DA CIDADE,BERCARIO
1,LINDA FLOR,INSTITUTO SOCIAL EDUCATIVO CULTURAL E DE TRANSFORMAÇÃO SOLID,SALA DE ED. INFANTIL PROPRIA 
1,LUCAS EVANGELISTA,INSTITUTO MACEDONIA,BERCARIO
1,LUGAR DE ALEGRIA,INSTITUTO KWARAY,BERCARIO
1,MAE DA DIVINA PROVIDENCIA,ASSOCIACAO CRISTA DE EDUCACAO INFANTIL SHAMMAH,BERCARIO
1,MANTO AZUL,ASS SAO SABAS DE FILANTROPIA,BERCARIO
1,MARANATA II,CENTRO COMUNITARIO MARANATA DE SAO PAULO,BERCARIO
1,MARGARIDA BARROS HORTA,MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE,SALA DE AULA PROPRIA         
1,MARIA AUXILIADORA,ASS COMUNITARIA SEMPRE VIVA,SALA DE ED. INFANTIL PROPRIA 
1,MARIA CLARA MACHADO,CENTRO COMUNITARIO MARANATA DE SAO PAULO,ATELIE
1,MARIA CLARA MACHADO,CENTRO COMUNITARIO MARANATA DE SAO PAULO,LABORATORIO DE INFORMATICA    
1,MARIA CLARA MACHADO,CENTRO COMUNITARIO MARANATA DE SAO PAULO,QUADRA COBERTA                
