dre,school,average_age
CS,CONSTELACAO DO INDIO,15.0
SM,CLAUDIO MANOEL DA COSTA,15.0
SA,ARMANDO ARRUDA PEREIRA,15.0
MP,DAMA ENTRE RIOS VERDES,15.0
IP,CASSIANO RICARDO,15.0
IP,IRMA DERLY FABRES,15.0
IQ,EDUARDO PRADO,15.0
PJ,GUIOMAR CABRAL,15.0
SM,FORTE DOS REIS MAGOS,15.0
SM,EMILIO RIBAS,15.0
IQ,8 DE MAIO,15.0
JT,MARCOS MELEGA,15.0
SM,THEREZA MACIEL DE PAULA PROFA.,15.0
PE,ASSAD ABDALA,15.0
PE,ANALIA FRANCO BASTOS,15.0
G,OSWALDO ARANHA BANDEIRA DE MELLO,15.0
CS,JOAQUIM BENTO ALVES DE LIMA NETO,15.0
PJ,BADRA,15.0
CS,JOAO DA SILVA,15.0
G,JAMBEIRO,15.0
IP,JOAQUIM NABUCO,14.0
JT,ALBERTO SANTOS DUMONT,14.0
SM,JOSE LINS DO REGO,14.0
BT,VIANNA MOOG,14.0
BT,JARDIM JAQUELINE - SAO GABRIEL,14.0
CS,CENTRO DE CONVIVENCIA SANTA DORITEIA,14.0
FO,GERALDO SESSO JUNIOR,14.0
PJ,RUI BLOEM,14.0
FO,PAULO NOGUEIRA FILHO,14.0
CL,LUCA,14.0
G,JOAO RIBEIRO DE BARROS,14.0
IQ,JOSE QUERINO RIBEIRO,14.0
CL,FRANCISCO REBOLO,14.0
CL,OLIVEIRA VIANA,14.0
IQ,FRANCISCO ALVES MENDES FILHO - CHICO MENDES,14.0
IP,MINA,14.0
CL,CASA JOSE COLTRO,14.0
PE,FIRMINO TIBURCIO DA COSTA,14.0
SM,RODRIGUES DE CARVALHO,14.0
G,DIAS GOMES,14.0
CL,PERIMETRAL,14.0
PE,LEONOR MENDES DE BARROS,14.0
PJ,JULIO DE OLIVEIRA,14.0
JT,JOAO DOMINGUES SAMPAIO,14.0
CS,HEITOR DE ANDRADE,14.0
SM,REINO ENCANTADO,14.0
CL,DEZOITO DO FORTE,14.0
JT,ENEAS CARVALHO DE AGUIAR,14.0
MP,CCA,14.0
CS,VIVENDA DA CRIANCA,14.0
CS,FE E ALEGRIA JARDIM SHANGRI-LA,14.0
SA,CASTELINHO DOM BOSCO,14.0
SA,BERNARDO O HIGGINS,14.0
CL,LEONARDO VILLAS BOAS,14.0
FO,TIJOLINHO,14.0
PJ,DILERMANDO DIAS DOS SANTOS,14.0
PJ,FERNANDO GRACIOSO,14.0
JT,OCTAVIO PEREIRA LOPES,14.0
G,MAURICIO GOULART,14.0
CS,JACEGUAVA,14.0
CL,ZULMIRA CAVALHEIRO FAUSTINO,14.0
IP,OLAVO FONTOURA,14.0
SM,FAZENDA DA JUTA,14.0
SM,CEC ROBERTO CARELLI,14.0
PE,ARTHUR ALVIM,14.0
JT,SORAYA MARIA,14.0
G,CASA DOS MENINOS II,14.0
G,VINTE E CINCO DE JANEIRO,14.0
JT,MARTIN FRANCISCO RIBEIRO DE ANDRADA,14.0
MP,JOSE HONORIO RODRIGUES,14.0
SA,CACILDA BECKER,14.0
SM,HERALDO BARBUY,14.0
CS,JARDIM SIPRAMAR,14.0
PJ,CHACARA TURISTICA,14.0
MP,ANTONIA E ARTUR BEGBIE,14.0
JT,LOURENCO FILHO,14.0
SM,PROJETO CULTURAL VIVARTE DANIEL COMBONI,14.0
FO,PEDRO AMERICO,14.0
SM,BOA ESPERANCA,14.0
SM,RODRIGO MELLO FRANCO DE ANDRADE,14.0
MP,JOSE AMERICO DE ALMEIDA,14.0
MP,MURURES,14.0
SM,JOAQUIM OSORIO DUQUE ESTRADA,14.0
BT,VILA MUNCK,14.0
IP,CLEOMENES CAMPOS,14.0
IQ,AYRES MARTINS TORRES,14.0
IQ,ARTUR NEIVA,14.0
SA,GROSSARL,14.0
PJ,PAULO PRADO,14.0
PJ,ESTACAO JARAGUA,14.0
